date,post_id,rubric,prompt,path
2026-04-16,AL-16.04-15-04-BAKERY-CinnamonKnot,"BAKERY, NARRATIVE","High-end fashion editorial photography, a close-up shot of a perfectly twisted cinnamon knot pastry on a minimalist dark ceramic plate. Heavy dusting of pearl sugar, glistening caramel edges. The background is a blurry, moody Baltic kitchen with soft, natural morning light from a large window. Heavy film grain, shot on 35mm film Kodak Portra 800, Dazed magazine aesthetic, moody lighting, no text, no logos --ar 1:1 --v 6.1 --style raw --s 750",02_CONTENT/2026/04/16/AL-16.04-15-04-BAKERY-CinnamonKnot.md
2026-04-16,AL-16.04-18-02-SOURCE-Grimm,"SOURCE, MYTH","High-end fashion editorial photography, a mysterious and dark gingerbread house made of deep brown cake and glistening white icing, half-hidden in a thick, eerie forest fog. Moody lighting, cinematic shadows, heavy film grain. No people, no text, no logos. Shot on 35mm film Kodak Portra 800, Dazed magazine aesthetic --ar 1:1 --v 6.1 --style raw --s 750",02_CONTENT/2026/04/16/AL-16.04-18-02-SOURCE-Grimm.md
2026-04-17,AL-17.04-10-00-BAKERY-Medovik,"BAKERY, PATISSERIE","High-end fashion editorial photography, a slice of a multilayered honey cake (Medovik) showing 12 perfect thin layers. Deep amber honey dripping from the side. Minimalist setting, dark wooden table, soft morning light hitting the textures of the cream. Heavy film grain, shot on 35mm film Kodak Portra 800, Dazed magazine aesthetic, no text, no logos --ar 1:1 --v 6.1 --style raw --s 750",02_CONTENT/2026/04/17/AL-17.04-10-00-BAKERY-Medovik.md
2026-04-17,AL-17.04-18-02-CHRONOS-Beltain,"CHRONOS, RITUAL","High-end fashion editorial photography, a distant bonfire seen through a thick blue twilight mist on a rocky northern shore. Moody lighting, cinematic shadows, heavy film grain. Ethereal and mysterious atmosphere. No people, no text, no logos. Shot on 35mm film Kodak Portra 800, Dazed magazine aesthetic --ar 1:1 --v 6.1 --style raw --s 750",02_CONTENT/2026/04/17/AL-17.04-18-02-CHRONOS-Beltain.md
2026-04-18,AL-18.04-12-00-BAKERY-BlueberryTart,"BAKERY, PATISSERIE","High-end fashion editorial photography, a whole blueberry tart with intense dark purple berries and a creamy swirl. Crust is perfectly golden and crimped. Deep shadows, moody atmosphere of a northern café. Soft window light reflecting on the berry juice. Heavy film grain, shot on 35mm film Kodak Portra 800, Dazed magazine aesthetic, no text, no logos --ar 1:1 --v 6.1 --style raw --s 750",02_CONTENT/2026/04/18/AL-18.04-12-00-BAKERY-BlueberryTart.md
2026-04-18,AL-18.04-21-00-LORE-EternalOrnament,"LORE, SYMBOL","High-end fashion editorial photography, extreme macro shot of an ancient woven fabric with a complex geometric pattern in white and deep red. Frayed edges, visible texture of natural linen threads. Moody lighting with dramatic shadows, heavy film grain. Sense of ancient history and cosmic mystery. No text, no logos. Shot on 35mm film Kodak Portra 800, Dazed magazine aesthetic --ar 1:1 --v 6.1 --style raw --s 750",02_CONTENT/2026/04/18/AL-18.04-21-00-LORE-EternalOrnament.md
2026-06-08,AL-08.06-10-04-LORE-Lilith,LORE,"An empty red desert path at dusk with a single dark cloth caught on a thorn bush, deep red and gold tones, ancient dry landscape, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/06/08/AL-08.06-10-04-LORE-Lilith.md
2026-06-08,AL-08.06-15-04-CAKES-Praga,CAKES,"Cross-section slice of dark chocolate Praga cake on dark plate showing layers of sponge with cream and apricot jam line, glossy dark chocolate glaze on top, biscuit crumbs on sides, soft side window light, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/06/08/AL-08.06-15-04-CAKES-Praga.md
2026-06-08,AL-08.06-18-02-CHRONOS-Hay-Coumarin,CHRONOS,"Freshly cut hay drying in golden afternoon light on a country field, scattered haystacks in distance, warm summer light, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/06/08/AL-08.06-18-02-CHRONOS-Hay-Coumarin.md
2026-07-01,AL-01.07-10-04-LORE-Demeter,LORE,"A dry cracked Greek summer field with bare wheat stubble and distant olive trees, harsh midday sun, no people, documentary crop, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/01/AL-01.07-10-04-LORE-Demeter.md
2026-07-01,AL-01.07-15-04-PATISSERIE-Blueberry-Tart,PATISSERIE,"A round blueberry tart on dark wooden board with neatly arranged glossy fresh blueberries on yellow pastry cream, golden crust visible on edges, soft side window light, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/01/AL-01.07-15-04-PATISSERIE-Blueberry-Tart.md
2026-07-01,AL-01.07-18-02-CHRONOS-Pine-Resin,CHRONOS,"Close-up of pine bark with resin droplets glistening in warm midday sun, pine needles soft-focused in background, no people, documentary macro crop, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/01/AL-01.07-18-02-CHRONOS-Pine-Resin.md
2026-07-02,AL-02.07-10-04-SOURCE-Marquez,SOURCE,"A single block of ice melting on dark wooden table in dim Latin American interior, soft afternoon light from window, no people, documentary still life, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/02/AL-02.07-10-04-SOURCE-Marquez.md
2026-07-02,AL-02.07-15-04-CAKES-Shortcake,CAKES,"A classic strawberry shortcake with split biscuit, glossy macerated strawberries spilling out, fluffy whipped cream on top, on dark wooden board with one strawberry beside, soft side window light, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/02/AL-02.07-15-04-CAKES-Shortcake.md
2026-07-02,AL-02.07-18-02-CHRONOS-Light-Loss,CHRONOS,"A western-facing window with sun touching horizon at golden hour, warm summer evening light, no people, documentary interior crop, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/02/AL-02.07-18-02-CHRONOS-Light-Loss.md
2026-07-03,AL-03.07-10-04-DIVINATION-Tarot-Before-Occultism,DIVINATION,"A single worn tarot card back face down on a dark wooden table, one warm side light, frayed paper edges, documentary close crop, no text, no logos, no glow, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/03/AL-03.07-10-04-DIVINATION-Tarot-Before-Occultism.md
2026-07-03,AL-03.07-15-04-PATISSERIE-Croissant,PATISSERIE,"A single plain butter croissant broken open on dark stone surface, visible laminated layers and flakes, soft side window light, no plates, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/03/AL-03.07-15-04-PATISSERIE-Croissant.md
2026-07-03,AL-03.07-18-02-CHRONOS-Aphelion-Shadow,CHRONOS,"A pencil standing upright on pale paper near a window, short sharp noon shadow marked with a small graphite line, minimal documentary still life, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/03/AL-03.07-18-02-CHRONOS-Aphelion-Shadow.md
2026-07-04,AL-04.07-10-04-LORE-Dumuzi,LORE,"An empty ancient stone throne in a dark Mesopotamian chamber, a folded pale garment on the seat, single shaft of cold light, dust and clay texture, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/04/AL-04.07-10-04-LORE-Dumuzi.md
2026-07-04,AL-04.07-15-04-PIES-Kulebyaka,PIES,"A sliced savory cabbage kulebyaka on a dark wooden board, visible layered dough, pale cabbage filling and thin pancake separator, steam fading, side window light, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/04/AL-04.07-15-04-PIES-Kulebyaka.md
2026-07-04,AL-04.07-18-02-HERITAGE-Herb-Window,HERITAGE,"A small bundle of freshly cut wild herbs drying on unbleached linen in side evening light, close documentary crop, visible stems and flower heads, no hands, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/04/AL-04.07-18-02-HERITAGE-Herb-Window.md
2026-07-05,AL-05.07-10-04-FRAGMENT-Old-Key,FRAGMENT,"An old iron key lying inside a worn tea tin beside one dark button and a bent pin, close documentary crop, soft morning side light, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/05/AL-05.07-10-04-FRAGMENT-Old-Key.md
2026-07-05,AL-05.07-15-04-LISTS-Early-July-Smells,LISTS,"Four small early July objects on a dark wooden table, a pinch of dry hay, a pine twig with resin, a crushed blackcurrant leaf, and a few dark berries in side afternoon light, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/05/AL-05.07-15-04-LISTS-Early-July-Smells.md
2026-07-05,AL-05.07-18-02-CALENDAR-Two-Midsummer-Dates,CALENDAR,"Two small unlit beeswax candles on a plain table with a bowl of water and a loose ring of summer herbs between them, quiet evening side light, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/05/AL-05.07-18-02-CALENDAR-Two-Midsummer-Dates.md
2026-07-06,AL-06.07-10-04-DIVINATION-Midsummer-Oracles,DIVINATION,"A handmade wreath of summer herbs floating near the edge of dark still water at dusk, one small reflection of firelight, documentary close crop, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/06/AL-06.07-10-04-DIVINATION-Midsummer-Oracles.md
2026-07-06,AL-06.07-15-04-FLATBREAD-Injera,FLATBREAD,"A large round injera spread on a simple dark table with visible porous eyes and one small edge folded back, soft side window light, no hands, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/06/AL-06.07-15-04-FLATBREAD-Injera.md
2026-07-06,AL-06.07-18-02-CHRONOS-Warm-Evening,CHRONOS,"A warm stone windowsill at late summer evening with low amber light touching its edge, quiet documentary close crop, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/06/AL-06.07-18-02-CHRONOS-Warm-Evening.md
2026-07-07,AL-07.07-10-04-SOURCE-Gogol-Kupala,SOURCE,"Contemporary editorial still life for a culture magazine: an old literary journal open on a dark desk, a small bundle of midsummer herbs, one unlit candle, shallow depth of field, archival-documentary mood, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/07/AL-07.07-10-04-SOURCE-Gogol-Kupala.md
2026-07-07,AL-07.07-15-04-PATISSERIE-Makowiec,PATISSERIE,"Contemporary food magazine editorial photo: sliced makowiec poppy seed roll on a cool stone surface, sharp black poppy spiral inside pale yeast dough, scattered poppy seeds, restrained styling, side window light, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/07/AL-07.07-15-04-PATISSERIE-Makowiec.md
2026-07-07,AL-07.07-18-02-CALENDAR-Kupala-Several-Calendars,CALENDAR,"Contemporary editorial still life for a culture magazine: shallow bowl of water, loose midsummer herbs, one woven wreath, one unlit candle on a plain table at blue evening light, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/07/AL-07.07-18-02-CALENDAR-Kupala-Several-Calendars.md
2026-07-08,AL-08.07-10-04-OMENS-Fireweed-Hay,OMENS,"Contemporary documentary magazine photo: tall fireweed flowers at the edge of a dry hay field in early July morning light, cut grass blurred in the background, close editorial crop, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/08/AL-08.07-10-04-OMENS-Fireweed-Hay.md
2026-07-08,AL-08.07-15-04-RECIPE-Pectin-vs-Gelatin,RECIPE,"Contemporary food magazine macro photo: berry tart with thin glossy pectin glaze over fresh berries, one clean slice showing crust, cream, berries, and glaze layers, cool side window light, restrained styling, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/08/AL-08.07-15-04-RECIPE-Pectin-vs-Gelatin.md
