post_id,path,date,time,rubric,status,topic,title,tier,timezone,cultural_zone,factcheck_confidence,visual_status
AC-06.01-08-30-Greeting-ThreeKings,2026/01/06/AC-06.01-08-30-Greeting-ThreeKings.md,2026-01-06,08:01,"Greeting, Epiphany, ThreeKings, History, SacredSense, LongRead, LoreSync, HauteCouture",ГОТОВ,GREETING: EPIPHANY. ЯВЛЕНИЕ КОРОЛЕЙ И ЗОЛОТО РЕЙНА.,,,Europe/Riga,,,
AC-06.01-09-00-History-EpiphanyEssence,2026/01/06/AC-06.01-09-00-History-EpiphanyEssence.md,2026-01-06,09:01,"History, Epiphany, Theophany, Theology, Tradition, LongRead, LoreSync, HauteCouture",ГОТОВ,HISTORY: ЕПІФАНІЯ. СУТЬ ПРАЗНИКА ЯВЛЕННЯ ТА ВІЗАНТІЙСЬКЕ КОРІННЯ.,,,Europe/Riga,,,
AC-06.01-11-00-SacredSense-HolyEvening,2026/01/06/AC-06.01-11-00-SacredSense-HolyEvening.md,2026-01-06,11:01,"SacredSense, HolyEvening, EastVsWest, Symbolism, LongRead, LoreSync, HauteCouture",ГОТОВ,SACRED SENSE: СИМВОЛИЗМ СВЯТОГО ВЕЧЕРА. ВОСТОК VS ЗАПАД.,,,Europe/Riga,,,
AC-06.01-12-00-Legend-BethlehemStar,2026/01/06/AC-06.01-12-00-Legend-BethlehemStar.md,2026-01-06,12:01,"Legend, StarOfBethlehem, Astronomy, Kepler, Miracle, LongRead, LoreSync, HauteCouture",ГОТОВ,LEGEND: ВИФЛЕЄМСЬКА ЗІРКА. АСТРОНОМІЯ ЧИ ДИВО?,,,Europe/Riga,,,
AC-06.01-15-00-Symbol-ThreeGifts,2026/01/06/AC-06.01-15-00-Symbol-ThreeGifts.md,2026-01-06,15:01,"Symbol, Gifts, Gold, Frankincense, Myrrh, Alchemy, Medicine, LongRead, LoreSync, HauteCouture",ГОТОВ,"SYMBOL: ЗОЛОТО, ЛАДАН, СМИРНА. АЛХИМИЯ ДАРОВ.",,,Europe/Riga,,,
AC-06.01-18-00-Space-CologneCathedral,2026/01/06/AC-06.01-18-00-Space-CologneCathedral.md,2026-01-06,18:01,"SacredSpace, CologneCathedral, Magi, Reliquary, Gothic, Architecture, History, LongRead, LoreSync, HauteCouture",ГОТОВ,SACRED SPACE: КЕЛЬНСЬКИЙ СОБОР. УСИПАЛЬНИЦЯ ВОЛХВІВ.,,,Europe/Riga,,,
AC-06.01-21-00-Night-TwelfthNight,2026/01/06/AC-06.01-21-00-Night-TwelfthNight.md,2026-01-06,21:01,"Night, TwelfthNight, Yule, EpiphanyEve, Folklore, Perchta, WildHunt, LongRead, LoreSync, HauteCouture",ГОТОВ,NIGHT: ДВЕНАДЦАТАЯ НОЧЬ. ЗАВЕРШЕНИЕ ЙОЛЯ И ДИКАЯ ОХОТА.,,,Europe/Riga,,,
NB-06.01-08-30-Bestiary-Befana,2026/01/06/NB-06.01-08-30-Bestiary-Befana.md,2026-01-06,08:01,"Bestiary, Befana, Italy, Tradition, Ethnography, LongRead, LoreSync, Documentary",ГОТОВ,BESTIARY: БЕФАНА. ЭТНОГРАФИЯ ИТАЛЬЯНСКОЙ ВЕДЬМЫ.,,,Europe/Riga,,,
NB-06.01-09-00-Tradition-CabalgataSpain,2026/01/06/NB-06.01-09-00-Tradition-CabalgataSpain.md,2026-01-06,09:01,"Tradition, CabalgataDeReyes, Spain, Alcoy, ThreeKings, StreetFestival, Folklore, LongRead, LoreSync, HauteCouture",ГОТОВ,TRADITION: КАВАЛЬКАДА ВОЛХВІВ В ІСПАНІЇ. ДОЩ ІЗ ЦУКЕРОК ТА КОРОЛІ НА ВЕРБЛЮДАХ.,,,Europe/Riga,,,
NB-06.01-11-00-Bestiary-Kallikantzaroi,2026/01/06/NB-06.01-11-00-Bestiary-Kallikantzaroi.md,2026-01-06,11:01,"Bestiary, Kallikantzaroi, Greece, Mythology, WorldTree, Folklore, LongRead, LoreSync, HauteCouture",ГОТОВ,BESTIARY: КАЛЛИКАНТЗАРОСЫ. ГРЕЧЕСКИЕ ГОБЛИНЫ И ФИНАЛ БИТВЫ ЗА МИРОВОЕ ДРЕВО.,,,Europe/Riga,,,
NB-06.01-12-00-EthnoEast-HolyEveUA,2026/01/06/NB-06.01-12-00-EthnoEast-HolyEveUA.md,2026-01-06,12:01,"EthnoEast, HolyEve, Ukraine, Tradition, Didukh, 12Dishes, LongRead, LoreSync, HauteCouture",ГОТОВ,"ETHNO_EAST: СВЯТВЕЧІР В УКРАЇНІ. ТРАДИЦІЇ, ДІДУХ ТА МАГІЯ 12 СТРАВ.",,,Europe/Riga,,,
NB-06.01-15-00-Tradition-WomensChristmas,2026/01/06/NB-06.01-15-00-Tradition-WomensChristmas.md,2026-01-06,15:01,"Tradition, WomensChristmas, NollaigNamBan, Ireland, Epiphany, Folklore, SocialHistory, LongRead, LoreSync, HauteCouture",ГОТОВ,TRADITION: ЖЕНСКОЕ РОЖДЕСТВО В ИРЛАНДИИ. ДЕНЬ ОТДЫХА И МАГИЯ 12 СВЕЧЕЙ.,,,Europe/Riga,,,
NB-06.01-18-00-Costume-Vertep,2026/01/06/NB-06.01-18-00-Costume-Vertep.md,2026-01-06,18:01,"Costume, Vertep, Ukraine, Zvezdar, Caroling, Masks, Ethnography, LongRead, LoreSync, HauteCouture",ГОТОВ,COSTUME: КОСТЮМИ ЗВІЗДАРІВ ТА ВЕРТЕП. САКРАЛЬНИЙ ТЕАТР УКРАЇНИ.,,,Europe/Riga,,,
NB-06.01-21-00-Global-FirstStar,2026/01/06/NB-06.01-21-00-Global-FirstStar.md,2026-01-06,21:01,"Global, FirstStar, EpiphanyEve, Traditions, Folklore, Astronomy, LongRead, LoreSync, HauteCouture",ГОТОВ,GLOBAL: КАК МИР ЖДЕТ ПЕРВУЮ ЗВЕЗДУ. ГЕОГРАФИЯ НАДЕЖДЫ.,,,Europe/Riga,,,
